Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0806SC,`33,`609,District - Namakkal,Total,60+,2103,1091,1012,355,155,200,77,46,31,1947,928,1019,64,44,20,0,0,0,24,24,0,40,24,16,2,0,2,146,96,50,0,0,0,16,6,10,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,0,6,0,6,22,6,16,102,60,42
B0806SC,`33,`609,District - Namakkal,Total,Age not stated,11,5,6,0,0,0,0,0,0,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`609,District - Namakkal,Rural,Total,12763,5432,7331,1458,471,987,467,192,275,9968,3753,6215,478,226,252,14,6,8,134,56,78,374,226,148,0,0,0,1068,534,534,0,0,0,202,158,44,224,224,0,40,38,2,0,0,0,30,30,0,28,22,6,66,56,10,182,54,128,202,56,146,744,272,472
B0806SC,`33,`609,District - Namakkal,Rural,`5-14,316,144,172,20,14,6,30,16,14,118,64,54,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,2,2,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,70,104
B0806SC,`33,`609,District - Namakkal,Rural,15-34,4633,1954,2679,524,159,365,170,60,110,3159,1071,2088,188,86,102,0,0,0,42,6,36,212,132,80,0,0,0,450,270,180,0,0,0,132,112,20,136,136,0,8,6,2,0,0,0,24,24,0,10,10,0,34,28,6,122,36,86,94,12,82,376,124,252
B0806SC,`33,`609,District - Namakkal,Rural,35-59,6032,2414,3618,605,161,444,197,74,123,5014,1825,3189,228,96,132,14,6,8,68,26,42,118,70,48,0,0,0,494,184,310,0,0,0,66,46,20,82,82,0,32,32,0,0,0,0,6,6,0,12,6,6,26,22,4,54,18,36,86,38,48,140,44,96
B0806SC,`33,`609,District - Namakkal,Rural,60+,1773,915,858,309,137,172,70,42,28,1668,788,880,62,44,18,0,0,0,24,24,0,38,24,14,0,0,0,122,78,44,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,0,6,0,6,22,6,16,54,34,20
B0806SC,`33,`609,District - Namakkal,Rural,Age not stated,9,5,4,0,0,0,0,0,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`609,District - Namakkal,Urban,Total,2904,1376,1528,243,76,167,172,84,88,1485,572,913,34,14,20,0,0,0,58,2,56,148,80,68,14,8,6,312,212,100,6,6,0,114,56,58,82,76,6,22,18,4,0,0,0,12,6,6,28,20,8,48,34,14,50,20,30,30,6,24,532,238,294
B0806SC,`33,`609,District - Namakkal,Urban,`5-14,65,31,34,0,0,0,1,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,28,32
B0806SC,`33,`609,District - Namakkal,Urban,15-34,1220,604,616,117,44,73,78,33,45,387,141,246,8,8,0,0,0,0,26,2,24,86,62,24,4,2,2,172,118,54,0,0,0,62,44,18,40,34,6,14,12,2,0,0,0,12,6,6,16,8,8,36,28,8,44,20,24,24,0,24,328,130,198
B0806SC,`33,`609,District - Namakkal,Urban,35-59,1287,565,722,80,14,66,86,47,39,813,288,525,24,6,18,0,0,0,32,0,32,60,18,42,8,6,2,116,76,40,6,6,0,40,6,34,42,42,0,8,6,2,0,0,0,0,0,0,12,12,0,12,6,6,6,0,6,6,6,0,96,54,42
B0806SC,`33,`609,District - Namakkal,Urban,60+,330,176,154,46,18,28,7,4,3,279,140,139,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2,24,18,6,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,26,22
B0806SC,`33,`609,District - Namakkal,Urban,Age not stated,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`610,District - Erode,Total,Total,16881,7765,9116,3257,1419,1838,349,169,180,13744,5874,7870,506,254,252,16,12,4,347,113,234,1173,710,463,29,12,17,1263,684,579,8,8,0,330,182,148,196,164,32,11,9,2,0,0,0,33,24,9,68,50,18,171,104,67,178,64,114,238,58,180,1478,693,785
B0806SC,`33,`610,District - Erode,Total,`5-14,401,226,175,41,27,14,22,12,10,103,46,57,0,0,0,0,0,0,9,3,6,17,14,3,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,274,161,113
B0806SC,`33,`610,District - Erode,Total,15-34,6651,3089,3562,1244,585,659,139,65,74,4668,1926,2742,129,58,71,14,12,2,125,34,91,800,498,302,6,3,3,558,346,212,5,5,0,169,115,54,145,131,14,3,3,0,0,0,0,24,18,6,44,26,18,68,51,17,120,46,74,121,14,107,757,323,434
B0806SC,`33,`610,District - Erode,Total,35-59,7822,3351,4471,1408,544,864,125,61,64,7049,2858,4191,268,132,136,2,0,2,144,51,93,295,159,136,14,9,5,568,260,308,3,3,0,133,55,78,51,33,18,8,6,2,0,0,0,9,6,3,24,24,0,80,42,38,55,15,40,92,32,60,310,149,161
B0806SC,`33,`610,District - Erode,Total,60+,1997,1099,898,555,262,293,63,31,32,1917,1043,874,109,64,45,0,0,0,69,25,44,61,39,22,9,0,9,123,64,59,0,0,0,28,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,6,3,3,0,22,9,13,131,60,71
B0806SC,`33,`610,District - Erode,Total,Age not stated,10,0,10,9,1,8,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6
B0806SC,`33,`610,District - Erode,Rural,Total,12325,5544,6781,2034,915,1119,294,138,156,10437,4497,5940,414,204,210,16,12,4,182,58,124,658,422,236,2,0,2,872,422,450,0,0,0,142,76,66,122,110,12,2,0,2,0,0,0,6,0,6,26,14,12,88,52,36,82,34,48,188,44,144,828,376,452
B0806SC,`33,`610,District - Erode,Rural,`5-14,257,149,108,27,18,9,19,9,10,79,34,45,0,0,0,0,0,0,6,0,6,8,8,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,102,56
B0806SC,`33,`610,District - Erode,Rural,15-34,4842,2148,2694,772,375,397,115,52,63,3583,1485,2098,96,40,56,14,12,2,74,22,52,496,322,174,0,0,0,382,208,174,0,0,0,56,44,12,98,92,6,0,0,0,0,0,0,6,0,6,20,8,12,30,24,6,66,28,38,108,12,96,470,174,296
B0806SC,`33,`610,District - Erode,Rural,35-59,5748,2428,3320,854,333,521,105,51,54,5341,2170,3171,232,112,120,2,0,2,62,28,34,118,62,56,0,0,0,378,156,222,0,0,0,64,26,38,24,18,6,2,0,2,0,0,0,0,0,0,6,6,0,44,20,24,16,6,10,66,26,40,142,80,62
B0806SC,`33,`610,District - Erode,Rural,60+,1468,819,649,372,188,184,55,26,29,1427,807,620,86,52,34,0,0,0,40,8,32,36,30,6,2,0,2,98,44,54,0,0,0,22,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,14,6,8,52,20,32
B0806SC,`33,`610,District - Erode,Rural,Age not stated,10,0,10,9,1,8,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6
B0806SC,`33,`610,District - Erode,Urban,Total,4556,2221,2335,1223,504,719,55,31,24,3307,1377,1930,92,50,42,0,0,0,165,55,110,515,288,227,27,12,15,391,262,129,8,8,0,188,106,82,74,54,20,9,9,0,0,0,0,27,24,3,42,36,6,83,52,31,96,30,66,50,14,36,650,317,333
B0806SC,`33,`610,District - Erode,Urban,`5-14,144,77,67,14,9,5,3,3,0,24,12,12,0,0,0,0,0,0,3,3,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,116,59,57
B0806SC,`33,`610,District - Erode,Urban,15-34,1809,941,868,472,210,262,24,13,11,1085,441,644,33,18,15,0,0,0,51,12,39,304,176,128,6,3,3,176,138,38,5,5,0,113,71,42,47,39,8,3,3,0,0,0,0,18,18,0,24,18,6,38,27,11,54,18,36,13,2,11,287,149,138
B0806SC,`33,`610,District - Erode,Urban,35-59,2074,923,1151,554,211,343,20,10,10,1708,688,1020,36,20,16,0,0,0,82,23,59,177,97,80,14,9,5,190,104,86,3,3,0,69,29,40,27,15,12,6,6,0,0,0,0,9,6,3,18,18,0,36,22,14,39,9,30,26,6,20,168,69,99
B0806SC,`33,`610,District - Erode,Urban,60+,529,280,249,183,74,109,8,5,3,490,236,254,23,12,11,0,0,0,29,17,12,25,9,16,7,0,7,25,20,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,3,3,0,8,3,5,79,40,39
B0806SC,`33,`610,District - Erode,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`611,District - The Nilgiris,Total,Total,9971,5400,4571,1603,849,754,225,117,108,2593,1318,1275,4106,1906,2200,6,6,0,132,56,76,420,290,130,46,38,8,1148,884,264,0,0,0,270,194,76,294,282,12,56,42,14,0,0,0,20,12,8,50,38,12,118,102,16,140,44,96,102,34,68,1848,886,962
B0806SC,`33,`611,District - The Nilgiris,Total,`5-14,392,189,203,3,1,2,12,5,7,15,7,8,12,12,0,0,0,0,2,0,2,6,6,0,0,0,0,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,334,158,176
B0806SC,`33,`611,District - The Nilgiris,Total,15-34,4250,2434,1816,616,345,271,106,55,51,952,506,446,1224,578,646,0,0,0,60,24,36,256,146,110,32,30,2,504,414,90,0,0,0,172,126,46,176,170,6,16,16,0,0,0,0,18,12,6,18,12,6,52,50,2,90,26,64,36,8,28,1154,606,548
B0806SC,`33,`611,District - The Nilgiris,Total,35-59,4446,2247,2199,757,390,367,78,40,38,1379,675,704,2332,996,1336,6,6,0,56,20,36,126,106,20,12,6,6,538,402,136,0,0,0,90,62,28,118,112,6,36,26,10,0,0,0,2,0,2,32,26,6,66,52,14,42,18,24,32,12,20,258,78,180
B0806SC,`33,`611,District - The Nilgiris,Total,60+,882,530,352,227,113,114,28,17,11,247,130,117,538,320,218,0,0,0,14,12,2,32,32,0,2,2,0,98,66,32,0,0,0,8,6,2,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,28,14,14,102,44,58
B0806SC,`33,`611,District - The Nilgiris,Total,Age not stated,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`611,District - The Nilgiris,Rural,Total,3183,1670,1513,766,407,359,147,71,76,1016,474,542,1586,784,802,0,0,0,62,30,32,142,118,24,12,12,0,170,116,54,0,0,0,68,54,14,86,80,6,8,8,0,0,0,0,0,0,0,8,2,6,24,12,12,66,18,48,54,22,32,500,276,224
B0806SC,`33,`611,District - The Nilgiris,Rural,`5-14,120,48,72,2,1,1,9,2,7,11,5,6,0,0,0,0,0,0,2,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,88,36,52
B0806SC,`33,`611,District - The Nilgiris,Rural,15-34,1306,743,563,286,147,139,66,33,33,380,175,205,492,250,242,0,0,0,14,6,8,80,56,24,12,12,0,78,56,22,0,0,0,34,28,6,62,56,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42,18,24,8,2,6,322,196,126
B0806SC,`33,`611,District - The Nilgiris,Rural,35-59,1386,653,733,386,214,172,54,25,29,520,232,288,870,398,472,0,0,0,40,18,22,50,50,0,0,0,0,72,54,18,0,0,0,26,20,6,24,24,0,6,6,0,0,0,0,0,0,0,8,2,6,24,12,12,18,0,18,20,6,14,40,20,20
B0806SC,`33,`611,District - The Nilgiris,Rural,60+,370,226,144,92,45,47,17,11,6,105,62,43,224,136,88,0,0,0,6,6,0,6,6,0,0,0,0,20,6,14,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,20,14,6,50,24,26
B0806SC,`33,`611,District - The Nilgiris,Rural,Age not stated,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`611,District - The Nilgiris,Urban,Total,6788,3730,3058,837,442,395,78,46,32,1577,844,733,2520,1122,1398,6,6,0,70,26,44,278,172,106,34,26,8,978,768,210,0,0,0,202,140,62,208,202,6,48,34,14,0,0,0,20,12,8,42,36,6,94,90,4,74,26,48,48,12,36,1348,610,738
B0806SC,`33,`611,District - The Nilgiris,Urban,`5-14,272,141,131,1,0,1,3,3,0,4,2,2,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,122,124
B0806SC,`33,`611,District - The Nilgiris,Urban,15-34,2944,1691,1253,330,198,132,40,22,18,572,331,241,732,328,404,0,0,0,46,18,28,176,90,86,20,18,2,426,358,68,0,0,0,138,98,40,114,114,0,14,14,0,0,0,0,18,12,6,18,12,6,52,50,2,48,8,40,28,6,22,832,410,422
B0806SC,`33,`611,District - The Nilgiris,Urban,35-59,3060,1594,1466,371,176,195,24,15,9,859,443,416,1462,598,864,6,6,0,16,2,14,76,56,20,12,6,6,466,348,118,0,0,0,64,42,22,94,88,6,30,20,10,0,0,0,2,0,2,24,24,0,42,40,2,24,18,6,12,6,6,218,58,160
B0806SC,`33,`611,District - The Nilgiris,Urban,60+,512,304,208,135,68,67,11,6,5,142,68,74,314,184,130,0,0,0,8,6,2,26,26,0,2,2,0,78,60,18,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,0,8,52,20,32
B0806SC,`33,`611,District - The Nilgiris,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`612,District - Dindigul,Total,Total,30527,14174,16353,5495,2186,3309,916,443,473,23029,9813,13216,856,388,468,57,43,14,614,192,422,1398,799,599,32,25,7,3510,1579,1931,0,0,0,785,588,197,365,363,2,152,99,53,0,0,0,48,34,14,165,135,30,232,164,68,268,96,172,450,132,318,3145,1467,1678
B0806SC,`33,`612,District - Dindigul,Total,`5-14,678,366,312,99,37,62,26,15,11,160,82,78,14,12,2,0,0,0,2,2,0,23,0,23,0,0,0,19,15,4,0,0,0,5,2,3,2,0,2,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,3,0,3,32,15,17,479,248,231
B0806SC,`33,`612,District - Dindigul,Total,15-34,12553,5943,6610,2227,970,1257,399,203,196,8590,3625,4965,250,122,128,17,17,0,241,52,189,926,521,405,13,8,5,1373,736,637,0,0,0,439,357,82,251,251,0,50,42,8,0,0,0,40,28,12,47,40,7,70,32,38,182,66,116,271,81,190,1621,732,889
B0806SC,`33,`612,District - Dindigul,Total,35-59,14083,6214,7869,2422,826,1596,377,167,210,11517,4732,6785,465,179,286,28,20,8,304,98,206,364,223,141,10,8,2,1800,718,1082,0,0,0,267,170,97,101,101,0,90,51,39,0,0,0,8,6,2,106,83,23,132,108,24,83,30,53,122,18,104,731,328,403
B0806SC,`33,`612,District - Dindigul,Total,60+,3186,1636,1550,746,352,394,113,57,56,2753,1371,1382,127,75,52,12,6,6,67,40,27,85,55,30,9,9,0,312,104,208,0,0,0,68,53,15,11,11,0,6,0,6,0,0,0,0,0,0,12,12,0,24,18,6,0,0,0,25,18,7,308,159,149
B0806SC,`33,`612,District - Dindigul,Total,Age not stated,27,15,12,1,1,0,1,1,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
B0806SC,`33,`612,District - Dindigul,Rural,Total,24044,11044,13000,4740,1832,2908,804,406,398,20004,8490,11514,590,280,310,22,14,8,444,138,306,1058,598,460,14,14,0,2540,1032,1508,0,0,0,436,340,96,226,224,2,72,44,28,0,0,0,22,22,0,130,108,22,146,112,34,130,42,88,328,106,222,1818,906,912
B0806SC,`33,`612,District - Dindigul,Rural,`5-14,456,258,198,86,31,55,24,13,11,148,74,74,14,12,2,0,0,0,2,2,0,20,0,20,0,0,0,16,12,4,0,0,0,0,0,0,2,0,2,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,24,10,14,280,154,126
B0806SC,`33,`612,District - Dindigul,Rural,15-34,9898,4630,5268,1889,795,1094,353,183,170,7590,3188,4402,180,86,94,0,0,0,176,36,140,726,410,316,6,6,0,942,468,474,0,0,0,276,234,42,182,182,0,16,8,8,0,0,0,22,22,0,30,28,2,30,12,18,104,36,68,194,66,128,960,460,500
B0806SC,`33,`612,District - Dindigul,Rural,35-59,11163,4877,6286,2139,710,1429,324,156,168,9922,4081,5841,320,128,192,22,14,8,218,68,150,242,148,94,2,2,0,1342,484,858,0,0,0,118,68,50,42,42,0,46,30,16,0,0,0,0,0,0,88,68,20,92,82,10,26,6,20,90,12,78,408,198,210
B0806SC,`33,`612,District - Dindigul,Rural,60+,2506,1270,1236,625,295,330,102,53,49,2335,1144,1191,76,54,22,0,0,0,48,32,16,70,40,30,6,6,0,240,68,172,0,0,0,36,32,4,0,0,0,4,0,4,0,0,0,0,0,0,12,12,0,18,12,6,0,0,0,20,18,2,164,94,70
B0806SC,`33,`612,District - Dindigul,Rural,Age not stated,21,9,12,1,1,0,1,1,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
B0806SC,`33,`612,District - Dindigul,Urban,Total,6483,3130,3353,755,354,401,112,37,75,3025,1323,1702,266,108,158,35,29,6,170,54,116,340,201,139,18,11,7,970,547,423,0,0,0,349,248,101,139,139,0,80,55,25,0,0,0,26,12,14,35,27,8,86,52,34,138,54,84,122,26,96,1327,561,766
B0806SC,`33,`612,District - Dindigul,Urban,`5-14,222,108,114,13,6,7,2,2,0,12,8,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,5,3,199,94,105
B0806SC,`33,`612,District - Dindigul,Urban,15-34,2655,1313,1342,338,175,163,46,20,26,1000,437,563,70,36,34,17,17,0,65,16,49,200,111,89,7,2,5,431,268,163,0,0,0,163,123,40,69,69,0,34,34,0,0,0,0,18,6,12,17,12,5,40,20,20,78,30,48,77,15,62,661,272,389
B0806SC,`33,`612,District - Dindigul,Urban,35-59,2920,1337,1583,283,116,167,53,11,42,1595,651,944,145,51,94,6,6,0,86,30,56,122,75,47,8,6,2,458,234,224,0,0,0,149,102,47,59,59,0,44,21,23,0,0,0,8,6,2,18,15,3,40,26,14,57,24,33,32,6,26,323,130,193
B0806SC,`33,`612,District - Dindigul,Urban,60+,680,366,314,121,57,64,11,4,7,418,227,191,51,21,30,12,6,6,19,8,11,15,15,0,3,3,0,72,36,36,0,0,0,32,21,11,11,11,0,2,0,2,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,5,0,5,144,65,79
B0806SC,`33,`612,District - Dindigul,Urban,Age not stated,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`613,District - Karur,Total,Total,7572,3308,4264,1572,642,930,177,96,81,5589,2118,3471,452,214,238,8,8,0,108,38,70,872,552,320,12,0,12,732,300,432,0,0,0,116,54,62,156,138,18,46,26,20,0,0,0,12,6,6,32,20,12,102,66,36,112,44,68,44,6,38,574,264,310
B0806SC,`33,`613,District - Karur,Total,`5-14,90,47,43,8,5,3,5,2,3,33,14,19,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,24,24
B0806SC,`33,`613,District - Karur,Total,15-34,2815,1344,1471,647,270,377,54,27,27,1806,671,1135,106,56,50,2,2,0,26,8,18,560,364,196,6,0,6,292,152,140,0,0,0,70,40,30,82,70,12,22,20,2,0,0,0,6,0,6,18,6,12,30,18,12,70,26,44,30,6,24,282,148,134
B0806SC,`33,`613,District - Karur,Total,35-59,3708,1477,2231,670,249,421,78,40,38,2864,1030,1834,288,126,162,6,6,0,60,24,36,262,158,104,6,0,6,376,124,252,0,0,0,22,2,20,68,62,6,18,0,18,0,0,0,6,6,0,14,14,0,60,42,18,40,18,22,6,0,6,204,74,130
B0806SC,`33,`613,District - Karur,Total,60+,957,439,518,247,118,129,40,27,13,884,402,482,58,32,26,0,0,0,22,6,16,44,24,20,0,0,0,64,24,40,0,0,0,18,6,12,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,12,6,6,2,0,2,8,0,8,40,18,22
B0806SC,`33,`613,District - Karur,Total,Age not stated,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`613,District - Karur,Rural,Total,5415,2252,3163,807,313,494,142,81,61,4494,1668,2826,212,94,118,2,2,0,38,12,26,396,308,88,0,0,0,458,138,320,0,0,0,70,42,28,34,34,0,38,18,20,0,0,0,0,0,0,20,8,12,42,36,6,52,24,28,20,0,20,204,100,104
B0806SC,`33,`613,District - Karur,Rural,`5-14,75,34,41,8,5,3,4,2,2,31,13,18,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12,24
B0806SC,`33,`613,District - Karur,Rural,15-34,2080,954,1126,338,136,202,44,23,21,1544,561,983,64,30,34,2,2,0,0,0,0,310,246,64,0,0,0,178,66,112,0,0,0,46,28,18,34,34,0,20,18,2,0,0,0,0,0,0,12,0,12,18,12,6,44,18,26,12,0,12,90,52,38
B0806SC,`33,`613,District - Karur,Rural,35-59,2547,949,1598,317,102,215,60,33,27,2214,780,1434,118,46,72,0,0,0,26,6,20,78,56,22,0,0,0,238,60,178,0,0,0,4,2,2,0,0,0,18,0,18,0,0,0,0,0,0,8,8,0,24,24,0,8,6,2,0,0,0,68,30,38
B0806SC,`33,`613,District - Karur,Rural,60+,712,315,397,144,70,74,34,23,11,704,314,390,30,18,12,0,0,0,12,6,6,2,0,2,0,0,0,42,12,30,0,0,0,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,10,6,4
B0806SC,`33,`613,District - Karur,Rural,Age not stated,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`613,District - Karur,Urban,Total,2157,1056,1101,765,329,436,35,15,20,1095,450,645,240,120,120,6,6,0,70,26,44,476,244,232,12,0,12,274,162,112,0,0,0,46,12,34,122,104,18,8,8,0,0,0,0,12,6,6,12,12,0,60,30,30,60,20,40,24,6,18,370,164,206
